"","dw_mobilerecording_id","dw_mobilerecordingchunk_id","st_mobilerecordingchunk_id","dw_patient_id.y","st_patient_id.y","st_mobilerecording_id.y","chunk_number","frame_nr","pcm_LOGenergy_sma","pcm_zcr_sma","voiceprob_sma","f0_sma","f0env_sma","pcm_fftMag_fband0-250_sma","pcm_fftMag_fband0-650_sma","pcm_fftMag_spectralRollOff25_0_sma","pcm_fftMag_spectralRollOff50_0_sma","pcm_fftMag_spectralRollOff75_0_sma","pcm_fftMag_spectralRollOff90_0_sma","pcm_fftmag_spectralflux_sma","pcm_fftmag_spectralcentroid_sma","pcm_fftmag_spectralmaxpos_sma","pcm_fftmag_spectralminpos_sma","f0final_sma","voicingfinalunclipped_sma","jitterlocal_sma","jitterddp_sma","shimmerlocal_sma","loghnr_sma","audspec_lengthl1norm_sma","audspecrasta_lengthl1norm_sma","pcm_rmsenergy_sma","audSpec_Rfilt_sma_compare_0_","audSpec_Rfilt_sma_compare_1_","audSpec_Rfilt_sma_compare_2_","audSpec_Rfilt_sma_compare_3_","audSpec_Rfilt_sma_compare_4_","audSpec_Rfilt_sma_compare_5_","audSpec_Rfilt_sma_compare_6_","audSpec_Rfilt_sma_compare_7_","audSpec_Rfilt_sma_compare_8_","audSpec_Rfilt_sma_compare_9_","audSpec_Rfilt_sma_compare_10_","audSpec_Rfilt_sma_compare_11_","audSpec_Rfilt_sma_compare_12_","audSpec_Rfilt_sma_compare_13_","audSpec_Rfilt_sma_compare_14_","audSpec_Rfilt_sma_compare_15_","audSpec_Rfilt_sma_compare_16_","audSpec_Rfilt_sma_compare_17_","audSpec_Rfilt_sma_compare_18_","audSpec_Rfilt_sma_compare_19_","audSpec_Rfilt_sma_compare_20_","audSpec_Rfilt_sma_compare_21_","audSpec_Rfilt_sma_compare_22_","audSpec_Rfilt_sma_compare_23_","audSpec_Rfilt_sma_compare_24_","audSpec_Rfilt_sma_compare_25_","pcm_fftMag_fband250-650_sma_compare","pcm_fftMag_fband1000-4000_sma_compare","pcm_fftmag_spectralentropy_sma_compare","pcm_fftmag_spectralvariance_sma_compare","pcm_fftmag_spectralskewness_sma_compare","pcm_fftmag_spectralkurtosis_sma_compare","pcm_fftmag_psysharpness_sma_compare","pcm_fftmag_spectralharmonicity_sma_compare","loudness_sma3","alpharatio_sma3","hammarbergindex_sma3","slope0-500_sma3","slope500-1500_sma3","F0semitoneFrom27_5Hz_sma3nz","logRelF0-H1-H2_sma3nz","logRelF0-H1-A3_sma3nz","f1frequency_sma3nz","f1bandwidth_sma3nz","f1amplitudelogrelf0_sma3nz","f2frequency_sma3nz","f2amplitudelogrelf0_sma3nz","f3frequency_sma3nz","f3amplitudelogrelf0_sma3nz","pcm_fftMag_mfcc_0_","pcm_fftMag_mfcc_1_","pcm_fftMag_mfcc_2_","pcm_fftMag_mfcc_3_","pcm_fftMag_mfcc_4_","pcm_fftMag_mfcc_5_","pcm_fftMag_mfcc_6_","pcm_fftMag_mfcc_7_","pcm_fftMag_mfcc_8_","pcm_fftMag_mfcc_9_","pcm_fftMag_mfcc_10_","pcm_fftMag_mfcc_11_","pcm_fftMag_mfcc_12_","id","missing_mobilerecording_flag","etl_insert_date.y","etl_last_update_date.y","insert_job_id.y","update_job_id.y"
"1",21987,211089343,209089337,118,10,21987,1,99,-21.78115,0.05166667,0.1951262,0,434.4078,0.000000002298135,0.000000003022335,1822.917,2500,3208.333,3635.417,0.0001727192,2424.323,2375,979.1667,0,0,0,0,0,-100,0.006003278,0.7524924,0.0001074486,0.1528265,0.2880325,0.3623476,0.3715692,0.2632642,0.145972,0.1686934,0.3018411,0.5930157,0.7904587,0.6715431,0.5473633,0.7939315,0.8424466,0.7523765,0.7641492,1.02427,1.050095,1.07182,1.120815,1.131741,1.238285,1.230506,1.15312,1.442024,1.292295,0.000000005477386,0.00000002279283,2.971061,181148.4,6.265469,48.20903,0.1142969,0.00000001136141,0.005052798,-14.83873,24.3885,-0.006074961,0.03621391,0,0,0,795.6382,1251.456,-201,1820.564,-201,2786.699,-201,-18.35091,-2.274956,3.932474,12.02837,19.9008,4.746244,12.27087,9.72379,8.507344,8.753889,6.866327,2.751175,36.05925,"1c780575-04c8-4539-835e-5382e2ef8357",FALSE,2018-12-07 19:19:45,2018-12-07 19:19:45,0,0
"2",21987,211089342,209089336,118,10,21987,1,98,-21.72993,0.05,0.1740419,0,434.4078,0.000000002438745,0.000000003353858,1875,2541.667,3375,3718.75,0.0001836763,2506.734,2697.917,885.4167,0,0,0,0,0,-100,0.006127474,0.7636304,0.000103525,0.1476702,0.2734341,0.3619274,0.3518023,0.295264,0.1539887,0.1546175,0.2801602,0.6324875,0.7893072,0.628373,0.4887691,0.6931674,0.8104774,0.744024,0.7942116,1.090882,1.107907,1.174379,1.221983,1.149982,1.218052,1.244383,1.232197,1.424245,1.390698,0.000000005508737,0.00000002315907,3.311584,220399,5.31398,33.18754,0.1313042,0.0000000116575,0.005283264,-16.65261,25.45334,-0.01449716,0.03447362,0,0,0,624.438,1529.351,-201,1527.464,-201,2434.672,-201,-17.76628,1.001193,7.5211,14.97651,20.9276,5.632007,1.474593,5.051248,-6.841449,9.24769,-7.929289,-5.652193,36.29419,"1c780575-04c8-4539-835e-5382e2ef8357",FALSE,2018-12-07 19:19:45,2018-12-07 19:19:45,0,0
"3",21987,211089341,209089335,118,10,21987,1,97,-21.58098,0.05666666,0.1764654,0,434.4078,0.000000001772114,0.000000002832172,1927.083,2479.167,3260.417,3583.333,0.000197053,2484.911,2885.417,958.3333,0,0,0,0,0,-100,0.00614683,0.7839925,0.00009797744,0.137899,0.2480402,0.3413361,0.3344903,0.3406946,0.1701431,0.1626161,0.2668127,0.6538861,0.7808955,0.6316521,0.5192058,0.6624162,0.8186111,0.7833757,0.8486198,1.15907,1.151634,1.271885,1.281839,1.20784,1.242521,1.259556,1.285121,1.376916,1.446728,0.000000006659987,0.00000002365592,3.269363,228367,5.431736,34.27777,0.1274782,0.00000001260908,0.005397478,-15.00551,24.72946,-0.0195917,0.03138867,0,0,0,829.384,1405.589,-201,1779.792,-201,2740.011,-201,-16.61878,-1.527499,4.480022,11.28384,16.63378,16.6168,5.973972,1.550727,-7.500818,-11.40793,13.64781,10.94607,35.21967,"1c780575-04c8-4539-835e-5382e2ef8357",FALSE,2018-12-07 19:19:45,2018-12-07 19:19:45,0,0
"4",21987,211089340,209089334,118,10,21987,1,96,-21.43302,0.1,0.1907464,0,434.4078,0.000000001572486,0.000000003186814,1916.667,2437.5,3166.667,3593.75,0.0002049838,2461.523,2875,843.75,0,0,0,0,0,-100,0.006377432,0.8183897,0.00008927722,0.125714,0.2210668,0.3241848,0.3215009,0.359195,0.1813524,0.1808208,0.2803534,0.707263,0.8217637,0.6896979,0.6505799,0.7382353,0.9015379,0.8586777,0.9633709,1.197386,1.177118,1.346417,1.32453,1.293836,1.274749,1.265163,1.279225,1.327128,1.467266,0.000000008179678,0.00000002859174,3.803329,376333.4,4.265838,23.58954,0.1847558,0.00000001162882,0.00542633,-14.51373,24.17841,-0.02109654,0.0359633,0,0,0,694.5195,1328.317,-201,1612.182,-201,2548.159,-201,-17.81688,6.018452,4.477313,1.774556,8.36133,20.49516,5.607586,-3.02698,-15.14951,4.361411,13.38537,10.76528,36.87584,"1c780575-04c8-4539-835e-5382e2ef8357",FALSE,2018-12-07 19:19:45,2018-12-07 19:19:45,0,0
"5",21987,211089339,209089333,118,10,21987,1,95,-21.34808,0.1483333,0.2019063,0,434.4078,0.000000001017663,0.000000006374181,1604.167,2229.167,2947.917,3593.75,0.0002127348,2260.56,2937.5,437.5,0,0,0,0,0,-100,0.006704686,0.8685372,0.0000809711,0.1144035,0.2045247,0.3215182,0.3299221,0.3563345,0.1790695,0.1898028,0.3208698,0.7917498,0.8941506,0.7556482,0.8566113,0.9444215,1.05539,0.9429621,1.123502,1.199623,1.209633,1.398293,1.369043,1.360294,1.315291,1.272854,1.26474,1.319506,1.491809,0.00000001208928,0.00000003234073,3.875026,429524.8,3.703316,17.78385,0.203463,0.00000001497001,0.005333841,-10.84905,21.48154,-0.001023539,0.04088607,0,0,0,839.2313,1219.141,-201,1845.18,-201,2813.494,-201,-22.47252,-1.098327,1.957543,-3.807347,12.49017,14.84081,6.016467,0.874616,12.15953,18.67702,16.79773,-0.005351778,37.00453,"1c780575-04c8-4539-835e-5382e2ef8357",FALSE,2018-12-07 19:19:45,2018-12-07 19:19:45,0,0
"6",21987,211089338,209089332,118,10,21987,1,94,-21.21379,0.1883333,0.2046026,0,434.4078,0.0000000008881049,0.00000000743173,1354.167,2093.75,2822.917,3572.917,0.0002271264,2123.048,2250,312.5,0,0,0,0,0,-100,0.007288771,0.9320944,0.00007160442,0.1063681,0.1957365,0.3106225,0.3332984,0.3434402,0.1628427,0.1700989,0.3637321,0.9701586,1.047065,0.858113,1.043379,1.1833,1.213642,0.9973564,1.279418,1.191779,1.279987,1.47454,1.408558,1.452572,1.391516,1.296209,1.310024,1.362495,1.488205,0.00000003414675,0.00000003915812,4.883215,515136.3,2.785878,11.25607,0.3217658,0.00000002235267,0.005029108,-10.25877,20.93278,0.005373437,0.04515308,0,0,0,619.3032,1266.032,-201,1612.505,-201,2542.64,-201,-18.76718,-4.322048,3.513184,-2.856357,6.552341,-0.9926822,0.9117782,13.78595,5.699796,12.51303,13.55896,0.1116861,38.29238,"1c780575-04c8-4539-835e-5382e2ef8357",FALSE,2018-12-07 19:19:45,2018-12-07 19:19:45,0,0
"7",21987,211089337,209089331,118,10,21987,1,93,-20.97602,0.2016667,0.2000149,0,434.4078,0.0000000007153971,0.000000007476881,1197.917,2020.833,2770.833,3406.25,0.0002814991,2040.975,2208.333,177.0833,0,0,0,0,0,-100,0.007850546,0.9890448,0.00006909813,0.1020341,0.1918136,0.3048334,0.3617632,0.3590941,0.1460926,0.1372169,0.3737287,1.159353,1.23457,0.9597705,1.116967,1.348354,1.300692,1.026306,1.37373,1.217601,1.354952,1.576783,1.422183,1.538184,1.510677,1.315547,1.377467,1.393762,1.51169,0.00000003712533,0.00000004913283,5.179543,505045.7,2.550335,10.59459,0.390549,0.00000003074046,0.004795775,-8.316506,18.92237,0.01676644,0.04050555,0,0,0,610.2798,1203.347,-201,1574.715,-201,2481.492,-201,-14.98679,-10.45048,-7.550142,-3.638568,0.6350369,6.400232,9.001109,16.40271,-2.281574,-1.12868,-8.175267,-1.419004,41.57687,"1c780575-04c8-4539-835e-5382e2ef8357",FALSE,2018-12-07 19:19:45,2018-12-07 19:19:45,0,0
"8",21987,211089336,209089330,118,10,21987,1,92,-20.70924,0.2066667,0.2187669,0,434.4078,0.0000000006656009,0.000000008689834,1083.333,1979.167,2677.083,3281.25,0.0002982428,1982.137,1197.917,177.0833,0,0,0,0,0,-100,0.008493476,1.020654,0.00006836318,0.1002003,0.1841012,0.3043873,0.4068625,0.3826065,0.1302715,0.1106415,0.348786,1.236446,1.348881,1.039608,1.065195,1.396961,1.259111,1.013778,1.411563,1.328236,1.438358,1.658329,1.425019,1.624524,1.63729,1.328726,1.439283,1.393031,1.5248,0.00000004092119,0.00000006649825,6.07361,643706.6,1.70805,5.931795,0.5397288,0.00000003634893,0.004836818,-10.59296,20.49044,0.001286111,0.03459183,0,0,0,534.9544,1147.031,-201,1509.029,-201,2411.718,-201,-20.36962,-18.37874,-9.803946,-0.494958,10.8027,10.12469,8.311083,4.160387,-12.32102,-2.305434,-2.107654,6.266014,41.21056,"1c780575-04c8-4539-835e-5382e2ef8357",FALSE,2018-12-07 19:19:45,2018-12-07 19:19:45,0,0
"9",21987,211089335,209089329,118,10,21987,1,91,-20.74332,0.2116667,0.2197676,0,434.4078,0.0000000008184036,0.00000000918739,1093.75,1947.917,2656.25,3385.417,0.000303526,1978.982,1697.917,135.4167,0,0,0,0,0,-100,0.008986325,1.030334,0.00007271894,0.1027182,0.181023,0.3101804,0.4406246,0.3728691,0.1185709,0.0973956,0.2997229,1.142017,1.314322,1.006169,0.9301868,1.347176,1.203518,1.022996,1.498791,1.525329,1.532853,1.700405,1.464228,1.684282,1.720858,1.352492,1.484963,1.372968,1.562016,0.00000004046044,0.00000007158076,5.737494,625886.3,1.66534,5.873606,0.5758883,0.00000005696401,0.005037503,-11.33429,21.3926,-0.0133938,0.03727323,0,0,0,539.0251,1017.11,-201,1557.776,-201,2417.86,-201,-21.27209,-13.1825,-2.219558,4.152937,11.51988,-8.239576,-2.797193,8.162293,12.83723,10.69806,23.4793,10.80225,42.75657,"1c780575-04c8-4539-835e-5382e2ef8357",FALSE,2018-12-07 19:19:45,2018-12-07 19:19:45,0,0
"10",21987,211089334,209089328,118,10,21987,1,90,-20.75218,0.205,0.2117073,0,434.4078,0.0000000008547932,0.000000008581763,1250,2010.417,2635.417,3385.417,0.0002962319,2038.287,1781.25,125,0,0,0,0,0,-100,0.008921538,1.053181,0.00007562518,0.1110951,0.1915099,0.3051007,0.4495214,0.3400959,0.1102916,0.09108115,0.2530045,0.9102197,1.1015,0.8824825,0.8387664,1.322525,1.221605,1.100162,1.726273,1.794015,1.683373,1.770758,1.62088,1.701428,1.756269,1.477613,1.598149,1.404365,1.62063,0.0000000481865,0.00000006716792,6.203474,649979.3,1.655875,5.84871,0.6145107,0.00000005568442,0.00547245,-14.59663,24.83612,-0.02599259,0.03554547,0,0,0,687.3886,1181.833,-201,1702.487,-201,2550.296,-201,-18.5275,-16.82354,-13.99938,-4.184314,20.73419,10.02483,-3.323147,-7.967365,-10.91431,10.80136,10.32627,21.37093,43.63602,"1c780575-04c8-4539-835e-5382e2ef8357",FALSE,2018-12-07 19:19:45,2018-12-07 19:19:45,0,0
